marker,x_pos,y_pos,z_pos,msec,active
1,0.002145,-0.707101,-0.731567,5.373841,0
1,0.002574,-0.706057,-0.711611,5.236424,0
1,0.003094,-0.706172,-0.708656,5.371523,0
1,0.00274,-0.705866,-0.696344,5.375497,0
1,0.002631,-0.705723,-0.691055,5.251656,0
1,0.003239,-0.705801,-0.694029,5.376159,0
1,0.003139,-0.705957,-0.699564,5.37053,0
1,0.003042,-0.706164,-0.705992,5.254967,0
1,0.002835,-0.706364,-0.711113,5.377483,0
1,0.002857,-0.706507,-0.7197,5.382119,0
1,0.002709,-0.706488,-0.720762,5.24702,0
1,0.002555,-0.70656,-0.724157,5.371854,0
1,0.002542,-0.706717,-0.729122,5.376159,0
1,0.002325,-0.706801,-0.736994,5.239404,0
1,0.002047,-0.707127,-0.743645,5.393046,0
1,0.002042,-0.707312,-0.748114,5.372848,0
1,0.00211,-0.708238,-0.763645,5.253973,0
1,0.001616,-0.709166,-0.777676,5.377815,0
1,0.001735,-0.710157,-0.80113,5.360265,0
1,0.001955,-0.71065,-0.823219,5.258278,0
1,0.001762,-0.710792,-0.832056,5.376159,0
1,0.001697,-0.711101,-0.833889,5.391059,0
1,0.001538,-0.710593,-0.83329,5.22351,0
1,0.001888,-0.710857,-0.836702,5.44106,0
1,0.001873,-0.711132,-0.842842,5.354967,0
1,0.002175,-0.710996,-0.841011,5.239073,0
1,0.001968,-0.710836,-0.842808,5.378477,0
1,0.001828,-0.710722,-0.840246,5.371192,0
1,0.002016,-0.710806,-0.852129,5.253643,0
1,0.002284,-0.710922,-0.867964,5.366225,0
1,0.001966,-0.710813,-0.86536,5.362583,0
1,0.002131,-0.710955,-0.875074,5.25,0
1,0.002103,-0.710714,-0.872549,5.358609,0
1,0.002235,-0.710712,-0.873606,5.401987,0
1,0.002421,-0.710773,-0.87796,5.25,0
1,0.002277,-0.710654,-0.879181,5.375828,0
1,0.002275,-0.710333,-0.872814,5.377152,0
1,0.002194,-0.710097,-0.864779,5.251325,0
1,0.002138,-0.709952,-0.859583,5.37351,0
1,0.002022,-0.709468,-0.847372,5.377152,0
1,0.001822,-0.709371,-0.841942,5.249669,0
1,0.001931,-0.709299,-0.832594,5.367218,0
1,0.001719,-0.708907,-0.820366,5.360927,0
1,0.001655,-0.708535,-0.816427,5.257947,0
1,0.00174,-0.708103,-0.810795,5.37351,0
1,0.001767,-0.708182,-0.817734,5.342715,0
1,0.001661,-0.708235,-0.811583,5.308278,0
1,0.001497,-0.708438,-0.806684,5.365232,0
1,0.00127,-0.708362,-0.797855,5.371523,0
1,0.001342,-0.708345,-0.789127,5.251656,0
1,0.001647,-0.708363,-0.782766,5.372517,0
1,0.001812,-0.708172,-0.77813,5.378477,0
1,0.001642,-0.707994,-0.781326,5.254967,0
1,0.001578,-0.708059,-0.782709,5.361589,0
1,0.001566,-0.708158,-0.782608,5.383112,0
1,0.00105,-0.708103,-0.779613,5.249669,0
1,0.001161,-0.708319,-0.785759,5.381457,0
1,0.001157,-0.708469,-0.790876,5.371854,0
1,0.000998,-0.708698,-0.796698,5.251656,0
1,0.000891,-0.708883,-0.802591,5.379801,0
1,0.000833,-0.70915,-0.808693,5.375497,0
1,0.000174,-0.709347,-0.816906,5.251325,0
1,-0.000006,-0.70953,-0.823679,5.375165,0
1,0.000393,-0.709462,-0.825045,5.374503,0
1,0.00015,-0.709877,-0.837852,5.252649,0
