marker,x_pos,y_pos,z_pos,msec,active
1,0.002232,-0.708583,-0.691612,5.377152,0
1,0.002274,-0.708795,-0.69948,5.378146,0
1,0.002295,-0.709072,-0.708302,5.250331,0
1,0.0027,-0.709436,-0.718306,5.377815,0
1,0.002949,-0.70968,-0.728607,5.348013,0
1,0.002829,-0.710103,-0.745672,5.27351,0
1,0.002726,-0.71034,-0.760401,5.374172,0
1,0.003196,-0.710588,-0.768141,5.375828,0
1,0.002596,-0.711537,-0.780296,5.244702,0
1,0.003204,-0.711683,-0.780603,5.386093,0
1,0.002987,-0.71216,-0.787338,5.375828,0
1,0.002989,-0.713628,-0.832518,5.222847,0
1,0.002419,-0.714483,-0.845385,5.419868,0
1,0.001744,-0.714442,-0.853222,5.345695,0
1,0.001835,-0.714549,-0.857786,5.246357,0
1,0.001804,-0.714518,-0.854544,5.375828,0
1,0.002754,-0.714789,-0.851242,5.376159,0
1,0.002938,-0.714591,-0.849527,5.260596,0
1,0.002992,-0.714492,-0.847403,5.374172,0
1,0.003752,-0.715206,-0.862753,5.375497,0
1,0.0036,-0.715937,-0.876549,5.250331,0
1,0.003546,-0.715358,-0.863642,5.400662,0
1,0.003424,-0.714981,-0.856873,5.350993,0
1,0.003492,-0.714653,-0.850414,5.264901,0
1,0.003485,-0.714342,-0.842855,5.376159,0
1,0.003542,-0.714081,-0.837484,5.375497,0
1,0.003245,-0.71351,-0.825186,5.250662,0
1,0.00346,-0.71327,-0.823206,5.368212,0
1,0.003768,-0.712867,-0.821518,5.37053,0
1,0.004089,-0.712655,-0.821081,5.25,0
1,0.003972,-0.712194,-0.812422,5.375497,0
1,0.003509,-0.711468,-0.787746,5.376159,0
1,0.003535,-0.710373,-0.750086,5.25894,0
1,0.004297,-0.709439,-0.727043,5.393046,0
1,0.003399,-0.708858,-0.706146,5.362914,0
1,0.003833,-0.708664,-0.698523,5.22649,0
1,0.003664,-0.708925,-0.699272,5.387086,0
1,0.003296,-0.708849,-0.704403,5.369536,0
1,0.003267,-0.708885,-0.706177,5.254636,0
1,0.003201,-0.709188,-0.710567,5.37649,0
1,0.003034,-0.709204,-0.710052,5.373179,0
1,0.003004,-0.709354,-0.719673,5.248344,0
1,0.003075,-0.709644,-0.731903,5.386093,0
1,0.003132,-0.709882,-0.741831,5.373841,0
1,0.003084,-0.709997,-0.748083,5.249669,0
1,0.003261,-0.710211,-0.75618,5.37649,0
1,0.003274,-0.710499,-0.765852,5.374172,0
1,0.002843,-0.710772,-0.775261,5.252318,0
1,0.002716,-0.711419,-0.786146,5.37649,0
1,0.002463,-0.711355,-0.786308,5.374835,0
1,0.002087,-0.711412,-0.788216,5.252649,0
1,0.002123,-0.711965,-0.789005,5.374835,0
1,0.002099,-0.712218,-0.783812,5.387417,0
1,0.001581,-0.712398,-0.777769,5.248344,0
1,0.001513,-0.71261,-0.772312,5.375165,0
1,0.002,-0.71278,-0.773895,5.379139,0
1,0.002341,-0.712824,-0.773308,5.248344,0
1,0.002401,-0.712817,-0.775225,5.377483,0
1,0.002736,-0.712843,-0.776398,5.369536,0
1,0.002875,-0.712848,-0.774349,5.254304,0
1,0.002811,-0.712746,-0.771286,5.372517,0
